date,n_stocks,avg_sdl,avg_mom,avg_rev
2025-11-03,187,,,-0.0193813909693942
2025-11-04,187,,,-0.012355843778223076
2025-11-05,187,,,-0.030102637116694517
2025-11-06,187,,,-0.03422813069798396
2025-11-07,188,,,-0.026171550019159877
2025-11-10,188,,,-0.029571007070505518
2025-11-11,186,,,-0.03967895324514038
2025-11-12,187,,,-0.05011968883183309
2025-11-13,187,,,-0.05910076539670939
2025-11-14,188,,,-0.06202142126284495
2025-11-17,188,,,-0.03224665237367004
2025-11-18,188,,,-0.05366472073160973
2025-11-19,188,,,-0.03453722001782098
2025-11-20,187,,,-0.02126055647061394
2025-11-21,187,,,-0.005104914362053902
2025-11-24,187,,0.1010268177490422,-0.011730750112222108
2025-11-25,187,,0.07584456397017593,0.029355503130846606
2025-11-26,187,,0.11059918606391135,0.009656790090813468
2025-11-27,187,,0.10632014481842178,0.010288591031769627
2025-11-28,188,,0.08730259167522851,0.005977896139690151
2025-12-01,188,,0.07735720600948638,-0.003231382673612752
2025-12-02,188,,0.11635773337839607,-0.05039949287659936
2025-12-03,188,,0.0955249694330096,-0.0173563510417447
2025-12-04,188,,0.08510368203550499,-0.013394526248608556
2025-12-05,188,,0.09006240199254516,-0.027732489013182402
2025-12-08,188,,0.08401331851552807,-0.03336873456917813
2025-12-09,188,,0.07157941830945978,0.002124656549350471
2025-12-10,188,,0.04629107037642135,-0.002315900663035717
2025-12-11,188,,0.02604839848231631,-0.0015264853717862424
2025-12-12,188,,0.023184879055828025,0.004606335234280293
2025-12-15,188,,0.05333921972710588,-0.002120768893291196
2025-12-16,188,,0.035903764508597925,-0.016504344795297995
2025-12-17,188,0.0,0.021198031769569244,-0.008622413723692865
2025-12-18,188,0.0,0.02781598822537287,-0.023085572725203098
2025-12-19,188,-2.220446049250313e-16,0.05292139149278366,-0.035164616241005274
2025-12-22,188,0.0,0.07921002183908714,-0.03686372587208506
2025-12-23,188,0.0,0.08103098784657518,-0.014141834823998476
2025-12-24,188,0.0,0.048079755875186474,-0.01767577541914251
2025-12-25,188,5.551115123125783e-17,0.02362630897183609,0.01224333691891413
2025-12-26,188,0.0,0.04757124941249083,0.008287120377722865
2025-12-29,188,5.551115123125783e-17,0.04474772647218749,0.0245956208027437
2025-12-30,188,-5.551115123125783e-17,-0.006356349564524669,0.03233786144447055
2025-12-31,188,5.551115123125783e-17,0.0015921517013535926,0.024634566263511997
2026-01-05,188,-3.700743415417188e-17,0.01118467642100156,-0.001967489724403753
2026-01-06,188,1.4802973661668753e-16,0.003059010786670493,0.015443701331729199
2026-01-07,188,0.0,-0.0005059753994524458,0.010774488484709651
2026-01-08,188,-1.1895246692412391e-17,0.021341432670937542,-0.026441296937086238
2026-01-09,188,0.0,0.03405477779235803,-0.03501269126490855
2026-01-12,188,9.516197353929913e-17,0.026803447788445695,-0.01687362068685634
2026-01-13,188,-6.344131569286608e-17,0.050036342535683336,-0.04163373275145359
2026-01-14,188,7.930164461608261e-17,0.028037087248948635,-0.02982976258168449
2026-01-15,188,6.344131569286608e-17,0.011654328857469932,-0.006481612668781663
2026-01-16,188,-2.834611977766357e-17,0.023873526196710803,0.0015379153870381547
2026-01-19,188,-9.448706592554524e-18,-0.003948367960116027,0.008894536482314995
2026-01-20,188,2.4802854805455624e-17,-0.007093308838862564,0.023456360703022493
2026-01-21,188,-1.8897413185109047e-17,-0.008582184099706349,0.002429133965153589
2026-01-22,188,-4.133809134242604e-17,0.009184558853244684,-0.009331546386830855
2026-01-23,188,-3.7794826370218094e-17,0.01965832792394344,-0.01136127923102019
2026-01-26,188,-5.196788625904988e-17,0.023211362005067352,-0.012951021277267825
2026-01-27,188,9.448706592554524e-18,0.003165814260319058,-0.0022371105905224166
2026-01-28,188,4.724353296277262e-18,0.01575337580328782,0.00034363661673412533
2026-01-29,188,1.0039250754589182e-17,0.02624446087353551,0.015047620938270329
2026-01-30,188,3.307047307394083e-17,0.017797681721708515,0.025479295628402638
2026-02-02,188,-6.141659285160441e-17,-0.004792925219671808,0.024229135551391282
2026-02-03,188,-3.0708296425802203e-17,0.003577163475586477,0.015116694537670982
2026-02-04,186,4.775152794086695e-18,-0.007308072503757519,0.03331626598490825
2026-02-05,186,-6.685213911721373e-17,-0.0444983358761669,0.04519718662255991
2026-02-06,186,4.775152794086695e-18,-0.053187831231487556,0.038055867539534036
2026-02-09,186,1.910061117634678e-17,-0.04091323374839116,0.021304248885506704
2026-02-10,186,9.55030558817339e-18,-0.056846798439826526,0.021055386610057857
2026-02-11,186,-1.4325458382260084e-17,-0.049090722700353424,0.01322106929743431
2026-02-12,186,-1.910061117634678e-17,-0.033489764707993766,-0.019764031438213137
2026-02-13,186,-1.910061117634678e-17,-0.0257290238778529,-0.029491562145577358
2026-02-24,186,-7.162729191130042e-17,-0.022650992584863094,-0.011474155119997465
2026-02-25,186,-1.910061117634678e-17,-0.02899539987441932,-0.0052569728054447035
2026-02-26,186,3.3426069558606865e-17,-0.04208451642358932,-0.0049697488080542775
2026-02-27,186,1.6713034779303432e-17,-0.034958177137122806,-0.0068316153717513555
2026-03-02,186,3.820122235269356e-17,-0.03555648252112199,-8.25349186468387e-06
2026-03-03,186,0.0,-0.02929616247208428,-0.004516181916384077
2026-03-04,186,-1.910061117634678e-17,-0.019542027872731186,-0.01169783173337465
2026-03-05,186,-4.775152794086695e-17,-0.03998393119143534,-0.0005129509421121124
