date,code,sdl,mom_z,rev_z,aev_z,pred
2026-02-02,002625,0.18025532501406982,-0.050558375634517816,0.05267423014586714,-7.008981791913989,-0.004704821065649781
2026-02-03,002625,0.19487332051237136,-0.03512313282196211,0.03238866396761142,-6.510604418836706,-0.002762720689901442
2026-02-04,002625,-0.41587597770409035,-0.06569931479242241,0.03897180762852415,-7.20880796164692,-0.002859622990763701
2026-02-05,002625,0.056155756637041636,-0.08497121302362509,0.02123593119558298,-7.637559292837478,-0.0014812281053680917
2026-02-06,002625,-0.2847878545910276,-0.1736148709619202,0.03539077311986516,-8.050706048476284,0.00634048265448445
2026-02-09,002625,-0.08795890869184275,-0.18759770713913493,-0.00021385799828932406,-7.511251617737765,0.00927526669727452
2026-02-10,002625,0.19467391656109523,-0.13265682656826572,0.016527196652719622,-7.579870401238702,0.009550546070247565
2026-02-11,002625,0.1868954601440521,-0.10806697108066965,-0.011216566005176842,-7.914718310945153,0.001025340730083189
2026-02-12,002625,0.11374102159110307,-0.09468023814096405,-0.02278151442829235,-8.02035511665026,-0.004397633563823323
2026-02-13,002625,0.28741062778797083,-0.09946133128126189,-0.022275606027517103,-8.56862893305255,0.006496017050516652
2026-02-24,002625,0.2117198713528499,-0.07377521613832849,-0.030788967286722313,-7.443120149390819,-0.0013474507145781799
2026-02-25,002625,0.37955258069093334,-0.017130189439741872,-0.03743884279940457,-7.126087525736895,0.00108091191135953
2026-02-26,002625,-0.047714220538014614,-0.02661290322580645,-0.029863481228668887,-7.794900663798429,-0.004180374157960605
2026-02-27,002625,-0.18384556476380748,-0.039109506618531964,-0.016334323292320763,-8.388050459344838,-0.00560249377274799
2026-03-02,002625,0.33080201345493215,-0.03185981680605343,-0.03866695150608823,-7.54112165138718,-0.001425589681240192
2026-03-03,002625,-0.19641978307249658,-0.07718800648298219,0.055175274839245,-9.060931594144686,-0.004167380854369401
2026-03-04,002625,-0.14488228271419037,-0.08340080971659913,0.07156038548287891,-9.475739477292993,-0.0020578404541319005
2026-03-05,002625,-0.13171124296785466,-0.04767827529021562,0.04846727423363717,-9.164135634980065,-0.006403536883591136
2026-03-06,002625,-0.07763535839180208,-0.023996602251008747,0.04070131496556029,-9.297430200679424,-0.004541474085244825
2026-03-09,002625,0.0023912346000953045,-0.05371813777122392,0.07610037021801719,-9.614659227591437,-0.0044163874054914355
2026-03-10,002625,-0.11786640662955457,-0.029298545765611528,0.0035126234906694975,-9.533518462211966,-0.0046841965952226245
2026-03-11,002625,-0.2065098584239194,-0.06485355648535551,0.012809187279151923,-10.278723900222158,-0.0036430780864123826
2026-03-12,002625,-0.0016052867635777777,-0.06104400345125105,0.05245973008271654,-10.973179885327756,-0.006434567757129157
2026-03-13,002625,0.0929887195548761,-0.059231937513560484,0.056570931244560474,-11.422504659225677,-0.014011717092773423
2026-03-16,002625,0.024370625280316017,-0.06966586590958723,0.05164737310774714,-11.818377642822572,-0.008466471027175453
2026-03-17,002625,0.09706462431580849,-0.10049176822749628,0.07314386428728792,-12.30762792072623,-0.009600148485643806
2026-03-18,002625,0.2583165757254161,-0.08785364815996588,0.040715883668903774,-11.77386247692484,0.004283696826136797
2026-03-19,002625,0.10508979986095715,-0.10260238907849839,0.03354008729611768,-12.653867426736907,-0.009919069721753987
2026-03-20,002625,-0.01799191673240952,-0.1355536699193891,0.06019372693726932,-13.524939077838958,0.0033024528839856525
2026-03-23,002625,-0.1627902458773493,-0.18671224097415084,0.10633802816901405,-14.359708466189241,0.018426212397345213
2026-03-24,002625,-0.09770438696909851,-0.1875129641153287,0.06893273116234844,-13.748033702657397,0.005458293114974251
2026-03-25,002625,-0.08941254542997347,-0.1781833094115236,0.06529850746268662,-13.247663322333647,-0.00019710748281403303
2026-03-26,002625,0.09280497689487027,-0.19739022369511183,0.07891609222724028,-13.98882504874797,4.694439207155013e-05
2026-03-27,002625,0.11083471607824022,-0.1845126278438739,0.0412269938650307,-14.02916140232704,-0.003018231882149143
2026-03-30,002625,0.2235458897585869,-0.195392842451666,-0.027580772261623254,-14.394759489116957,0.006236880810508413
2026-03-31,002625,0.14385966347540063,-0.15740944017563108,0.0201684962981874,-15.017030322781409,-0.002828132231485381
2026-04-01,002625,-0.10934479576783068,-0.13825088339222613,0.02644710578842302,-14.626886569437106,0.0066741428799077206
2026-04-02,002625,-0.2193503377238598,-0.1774053112755768,0.02477419354838717,-15.55541893070797,0.004888311638818079
2026-04-03,002625,0.041141104107335416,-0.18059181897302012,0.03608907089838764,-16.327636688191173,0.0012326442862604123
2026-04-07,002625,-0.28183244165210874,-0.16852181656277831,0.04524539877300604,-17.04083102999313,0.007211748544738177
2026-04-08,002625,-0.22435807909759664,-0.13703458911654542,-0.020583637311099467,-14.913284273191094,0.005420385826444818
2026-04-09,002625,0.38049217083680326,-0.1467561521252797,0.022552537160430597,-15.74889704430535,0.014733126182452852
2026-04-10,002625,0.15652352125839067,-0.1052147943946703,-0.03069595130987035,-14.853080487506716,-0.006118969087839641
2026-04-13,002625,-0.13878611134859342,-0.10516605166051662,-0.030270844397238372,-15.14853697718538,0.0016101013826346974
2026-04-14,002625,0.5952326958005177,-0.04507042253521132,-0.08915662650602396,-13.049797262690165,0.014660015343043176
2026-04-15,002625,-0.004265916391113241,-0.05205609698122171,-0.018126116926219016,-13.664808872668788,-0.007003660425686687
2026-04-16,002625,-0.11470638480740425,-0.06809701492537312,-0.04771893025694807,-14.094316229982123,-0.005703544765811656
2026-04-17,002625,0.17953291486887438,-0.052293796054195485,-0.023620025673940725,-14.688702786714737,-0.010449230483098723
2026-04-20,002625,-0.018768575915894616,-0.005153374233128893,-0.04484536082474233,-14.230126574962066,-0.00504726658659064
2026-04-21,002625,-0.10164660208773496,0.055424218544785964,0.012291052114061007,-14.752200466558477,-0.011687798106785774
2026-04-22,002625,0.014672601769425036,0.030125095736533103,-0.011785356068204633,-15.21158082412013,-0.004460335383105573
2026-04-23,002625,-0.09945988173863261,-0.0059880239520956335,0.0030030030030029353,-15.42253770159419,-0.008210341621096654
2026-02-02,300476,0.53237665465894,-0.13733320346741995,-0.008348829266441538,-6.894374080664061,0.01353297073622504
2026-02-03,300476,-0.19294151049326264,-0.1580260338375924,0.009220578826540149,-7.037935146522778,0.006138590494044149
2026-02-04,300476,-0.3356647791387616,-0.16826797385620917,0.030068597560975574,-7.745878654127093,0.0068303071278037935
2026-02-05,300476,0.1099047944402247,-0.14490483810561428,0.017832701106722415,-8.299919331552726,0.00269737416582638
2026-02-06,300476,0.6269169320671225,-0.1263618045831768,0.02656113246318359,-7.509050689235166,0.017395371114180103
2026-02-09,300476,0.20607478618366157,-0.048160842373061064,-0.013812050732001202,-6.392441703491151,-0.001722638045170157
2026-02-10,300476,0.032183026637388486,-0.037904768780910425,-0.012345210058497313,-6.824292515062138,-0.004153411575840881
2026-02-11,300476,-0.10630258003262526,-0.06615939699210516,-0.027110919020863822,-7.435539748989557,-0.0022899035195792414
2026-02-12,300476,-0.39841442802210564,-0.08068877187989187,-0.028867210830181067,-7.896868751590925,-0.0011749657963162912
2026-02-13,300476,0.37925347253590147,-0.07632521489971344,-0.008131034752355104,-8.061550096631859,0.0020727283362922725
2026-02-24,300476,0.18329173633484272,-0.028629931624556626,0.013809488454970542,-7.34960674352702,-0.003997274666817147
2026-02-25,300476,0.8710423649553116,0.11976417093753611,-0.0903530824359311,-4.790355736366005,0.008550993515218017
2026-02-26,300476,0.8532254095504491,0.1798870056497175,-0.19834742358746782,-2.7383506973184217,-0.016964086985404032
2026-02-27,300476,-0.4783819093366939,0.10688897031879807,-0.16900154798761613,-3.464321689415443,0.013273553742879514
2026-03-02,300476,0.28329505530095933,0.1486352546508083,-0.1683663577494281,-3.5788399826463184,-0.012205222906013828
2026-03-03,300476,-0.10713941841587202,0.07020606428598541,-0.06154483173981773,-4.664295498299894,0.00831735202032047
2026-03-04,300476,0.35184257018665566,0.07120544955026165,0.020509996902852712,-4.443634474931821,0.009776340527902818
2026-03-05,300476,0.24243061071043245,0.07835365853658538,0.09672476537061869,-4.4893988106651825,0.024210206500258447
2026-03-06,300476,-0.1253690931720585,0.08091197059168587,0.08498030257887246,-5.0300966344545,0.012807437282313113
2026-03-09,300476,0.02804189915864125,0.02001598234331592,0.11038465367893524,-5.501974497771041,0.026457561757105032
2026-03-10,300476,0.2832102487064175,0.08016258326747217,-0.0177298677351867,-4.186821427923933,0.0094880829037777
2026-03-11,300476,-0.15500379081528756,0.07426118665957615,0.006394266240382196,-4.6428849877319225,0.006934690617140342
2026-03-12,300476,0.07184747369476407,0.09425955758123461,0.01576194515125806,-4.992084058366035,0.0014684453115697768
2026-03-13,300476,0.16478252105915844,0.09990045789368907,0.0005788712011576269,-5.176090746793111,-0.0005321845601673288
2026-03-16,300476,0.26649646089957607,0.12216097885149124,-0.07091960455138957,-4.371446861783703,0.012122854410687504
2026-03-17,300476,0.18528091181252487,0.03203652832430026,0.03135779241141423,-4.663247026935003,0.004777026076936584
2026-03-18,300476,0.40458711882801845,0.0793591234850477,-0.017149322866942596,-4.064925377967539,0.009649124523433533
2026-03-19,300476,-0.19959590943482816,0.053096668069316344,0.011526032315978374,-4.8958531853508,0.002139677536374524
2026-03-20,300476,0.23447316880486796,0.07093653250774001,-0.001773819866782489,-4.944289987386024,0.004824429761014176
2026-03-23,300476,-0.12991565343322273,0.005971538252743436,0.09625165470633312,-5.7308381699436355,0.008942395611174712
2026-03-24,300476,-0.07380830113452165,-0.005985093728826385,0.0501420812201,-5.355168166360128,-0.001344415843219758
2026-03-25,300476,-0.22496835324287717,-0.08995491930210942,0.08068553153027891,-5.548564626525185,-0.0007369081358947166
2026-03-26,300476,0.26728276593741795,-0.14799208325352742,0.030476951578335743,-5.456473442097464,0.01258645961330855
2026-03-27,300476,0.005249620089167952,-0.13890820008607274,0.06005854081595785,-6.000434023454331,0.008552774239695415
2026-03-30,300476,0.10350829755949567,-0.15273306561348776,0.01595806190494553,-6.4963421453995975,0.002727863460461149
2026-03-31,300476,0.08666209863878056,-0.11701712705223222,0.05703033286628545,-7.083726895600426,-0.003863687217233337
2026-04-01,300476,-0.025366435505683942,-0.1035027930998138,0.035091699754206895,-6.752040130185414,0.0011400558910603371
2026-04-02,300476,0.5079918843368634,-0.09849448685326545,0.04424878231547391,-6.898478251520913,0.012460943105785325
2026-04-03,300476,0.2548085743379033,-0.05321997105643983,-0.0060743531582792,-6.396238828452609,0.0033904070221404572
2026-04-07,300476,-0.018324679002281352,-0.0192501398992726,-0.029770065415801517,-6.4603349508936185,-0.0033995358071964563
2026-04-08,300476,0.08136141410730703,-0.010870701369290248,-0.1400746957953496,-4.583028525249334,0.011902732010632504
2026-04-09,300476,0.027186394701973527,-0.023973692585127937,-0.08174942195399137,-5.3100618484864865,0.0014651478734996276
2026-04-10,300476,0.403011390326387,0.03332136445242351,-0.12815084872005955,-4.2846048622303305,0.007404958410495146
2026-04-13,300476,0.10948280417303842,0.0721112076455257,-0.13172073827811537,-3.58061963498918,0.0070842667286543206
2026-04-14,300476,0.1987226740122209,0.07298125827353164,-0.17163072007303448,-2.6379894439729896,0.006833355546896324
2026-04-15,300476,-0.6620508475155827,0.06269558648969453,-0.04068477227095002,-3.431816237219244,0.008824223320257446
2026-04-16,300476,0.0728496555750281,0.05506500730028496,-0.09951816831503835,-2.8808486950264247,0.010636681304805048
2026-04-17,300476,0.7331809253683156,0.18573141051255027,-0.13426923344221287,-1.1612287804613235,0.018660387473892984
2026-04-20,300476,0.17140142673553346,0.23947530083474855,-0.15815775256618037,-0.4191656774660558,0.0031567027384083934
2026-04-21,300476,-0.32356584515868464,0.2754885710981767,-0.07431576896853986,-1.1569944725500776,0.011995103101752976
2026-04-22,300476,0.3168877819559084,0.2980649070322263,-0.16023558082859446,-0.42544114645627207,0.02500434292008245
2026-04-23,300476,-0.578202850141994,0.2552467385138968,-0.09373970345963745,-1.0574036465141805,0.027425961163639538
2026-02-02,300251,-0.7098845375646508,0.18028846153846145,-0.11590909090909096,-2.555239204009331,0.03102281710238149
2026-02-03,300251,0.40783777339650557,0.1889020070838252,-0.13785310734463274,-1.3373303315320884,0.06321214430846686
2026-02-04,300251,-1.3407432334991725,0.1408114558472553,-0.06875349357182792,-2.2465510106622912,0.04911892728911282
2026-02-05,300251,2.2889930916060792,0.2273262661955242,-0.1412924424972617,-0.17126824801219329,0.07007518726046787
2026-02-06,300251,-1.316799932092316,0.18197573656845778,-0.046012269938650485,-0.5690760767106485,0.06541877306735044
2026-02-09,300251,-0.12522264920560333,0.13903743315508033,-0.08452138492871697,-0.20933351187748955,0.014945672263542565
2026-02-10,300251,5.3439841318956764,0.40671436433681873,-0.26911618669314796,0.0,0.0010777871906631578
2026-02-11,300251,-5.320160451585655,0.4701696770662287,-0.40481171548117145,-2.023693885859199,-0.15414039843778787
2026-02-12,300251,-5.837765113066829,0.33051325437112244,-0.13195777351247595,-3.874146579801942,-0.06344853647441642
2026-02-13,300251,1.9431628150021552,0.5862470862470861,-0.33040078201368517,-1.46116090257729,-0.1369108967808987
2026-02-24,300251,-6.341920604452082,0.2692307692307694,-0.022535211267605604,-3.896088681362638,-0.05225480711869691
2026-02-25,300251,-2.5006738203134167,0.21151586368977693,0.19327073552425655,-4.583006903916505,-0.0211576982180278
2026-02-26,300251,-3.0081168212048213,0.1737588652482267,0.2606105733432613,-5.184687297837706,-0.02045134550333025
2026-02-27,300251,-3.0697427190545854,0.1351193942923703,0.17380245866892752,-5.672285584923275,-0.020735236355535373
